,genere_id,name
0,0,Documentaries
1,1,International TV Shows
2,2,TV Dramas
3,3,TV Mysteries
4,4,Crime TV Shows
5,5,TV Action & Adventure
6,6,Docuseries
7,7,Reality TV
8,8,Romantic TV Shows
9,9,TV Comedies
10,10,TV Horror
11,11,Children & Family Movies
12,12,Dramas
13,13,Independent Movies
14,14,International Movies
15,15,British TV Shows
16,16,Comedies
17,17,Spanish-Language TV Shows
18,18,Thrillers
19,19,Romantic Movies
20,20,Music & Musicals
21,21,Horror Movies
22,22,Sci-Fi & Fantasy
23,23,TV Thrillers
24,24,Kids' TV
25,25,Action & Adventure
26,26,TV Sci-Fi & Fantasy
27,27,Classic Movies
28,28,Anime Features
29,29,Sports Movies
30,30,Anime Series
31,31,Korean TV Shows
32,32,Science & Nature TV
33,33,Teen TV Shows
34,34,Cult Movies
35,35,TV Shows
36,36,Faith & Spirituality
37,37,LGBTQ Movies
38,38,Stand-Up Comedy
39,39,Movies
40,40,Stand-Up Comedy & Talk Shows
41,41,Classic & Cult TV
42,42,Sci-fi
43,43,Horror
44,44,Action
45,45,Drama
46,46,Romance
47,47,Thriller
